"area_name","area_code","date","new_cases","total_cases"
"Enfield","E09000010",2020-09-18,20,1607
"Greenwich","E09000011",2020-09-18,7,1201
"Hackney and City of London","E09000012",2020-09-18,8,1378
"Hammersmith and Fulham","E09000013",2020-09-18,9,1061
"Haringey","E09000014",2020-09-18,5,1115
"Harrow","E09000015",2020-09-18,9,1628
"Havering","E09000016",2020-09-18,19,1354
"Hillingdon","E09000017",2020-09-18,14,1529
"Hounslow","E09000018",2020-09-18,7,1526
"Islington","E09000019",2020-09-18,4,807
"Kensington and Chelsea","E09000020",2020-09-18,6,823
"Kingston upon Thames","E09000021",2020-09-18,4,911
"Lambeth","E09000022",2020-09-18,12,1793
"Lewisham","E09000023",2020-09-18,8,1509
"Merton","E09000024",2020-09-18,5,1117
"Newham","E09000025",2020-09-18,12,1773
"Redbridge","E09000026",2020-09-18,34,1646
"Richmond upon Thames","E09000027",2020-09-18,6,763
"Southwark","E09000028",2020-09-18,18,1836
"Sutton","E09000029",2020-09-18,6,1164
"Tower Hamlets","E09000030",2020-09-18,18,1282
"Waltham Forest","E09000031",2020-09-18,12,1369
"Wandsworth","E09000032",2020-09-18,20,1652
"Westminster","E09000033",2020-09-18,14,1116
"Barking and Dagenham","E09000002",2020-09-19,12,1083
"Barnet","E09000003",2020-09-19,13,2167
"Bexley","E09000004",2020-09-19,10,1283
"Brent","E09000005",2020-09-19,12,2142
"Bromley","E09000006",2020-09-19,7,1811
"Camden","E09000007",2020-09-19,4,975
"Croydon","E09000008",2020-09-19,5,2195
"Ealing","E09000009",2020-09-19,12,2060
"Enfield","E09000010",2020-09-19,10,1617
"Greenwich","E09000011",2020-09-19,5,1206
"Hackney and City of London","E09000012",2020-09-19,7,1385
"Hammersmith and Fulham","E09000013",2020-09-19,7,1068
"Haringey","E09000014",2020-09-19,10,1125
"Harrow","E09000015",2020-09-19,11,1639
"Havering","E09000016",2020-09-19,13,1367
"Hillingdon","E09000017",2020-09-19,21,1550
"Hounslow","E09000018",2020-09-19,12,1538
"Islington","E09000019",2020-09-19,11,818
"Kensington and Chelsea","E09000020",2020-09-19,2,825
"Kingston upon Thames","E09000021",2020-09-19,5,916
"Lambeth","E09000022",2020-09-19,10,1803
"Lewisham","E09000023",2020-09-19,8,1517
"Merton","E09000024",2020-09-19,3,1120
"Newham","E09000025",2020-09-19,26,1799
"Redbridge","E09000026",2020-09-19,42,1688
"Richmond upon Thames","E09000027",2020-09-19,4,767
"Southwark","E09000028",2020-09-19,13,1849
"Sutton","E09000029",2020-09-19,2,1166
"Tower Hamlets","E09000030",2020-09-19,16,1298
"Waltham Forest","E09000031",2020-09-19,12,1381
"Wandsworth","E09000032",2020-09-19,10,1662
"Westminster","E09000033",2020-09-19,3,1119
"Barking and Dagenham","E09000002",2020-09-20,22,1105
"Barnet","E09000003",2020-09-20,18,2185
"Bexley","E09000004",2020-09-20,17,1300
"Brent","E09000005",2020-09-20,19,2161
"Bromley","E09000006",2020-09-20,8,1819
"Camden","E09000007",2020-09-20,14,989
"Croydon","E09000008",2020-09-20,6,2201
"Ealing","E09000009",2020-09-20,19,2079
"Enfield","E09000010",2020-09-20,22,1639
"Greenwich","E09000011",2020-09-20,10,1216
"Hackney and City of London","E09000012",2020-09-20,12,1397
"Hammersmith and Fulham","E09000013",2020-09-20,1,1069
"Haringey","E09000014",2020-09-20,20,1145
